City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
432,Perigueux,FR,45.18,0.72,51.01,86,7,7.18,clear sky
433,Feijo,BR,-8.16,-70.35,75.74,94,88,1.77,overcast clouds
434,Shakawe,BW,-18.37,21.85,74.34,66,25,3.78,scattered clouds
435,Nome,US,64.5,-165.41,24.8,79,90,8.05,overcast clouds
436,Hambantota,LK,6.12,81.12,76.21,84,86,5.17,overcast clouds
437,Novochernorechenskiy,RU,56.27,91.08,6.84,93,0,4.03,clear sky
438,Luderitz,NA,-26.65,15.16,59.0,87,0,14.99,clear sky
439,Moron,AR,-34.65,-58.62,80.01,49,0,3.0,clear sky
440,Batagay,RU,67.63,134.63,-9.6,90,100,1.36,overcast clouds
441,Orodara,BF,10.95,-4.93,78.8,39,0,3.27,clear sky
442,Los Llanos De Aridane,ES,28.66,-17.92,64.4,63,0,3.36,clear sky
443,Juba,SS,4.85,31.58,78.31,62,48,2.53,scattered clouds
444,Fort Nelson,CA,58.81,-122.7,17.6,85,20,4.7,few clouds
445,Pinsk,BY,52.12,26.1,35.73,92,98,7.78,overcast clouds
446,Qiyang,CN,26.59,111.85,45.88,69,100,4.81,overcast clouds
447,Ponca City,US,36.71,-97.09,53.6,40,1,9.17,clear sky
448,Hornepayne,CA,49.21,-84.77,30.69,98,99,6.04,overcast clouds
449,Nishihara,JP,26.18,127.76,69.8,68,40,25.28,scattered clouds
450,Mamallapuram,IN,12.63,80.17,75.2,94,40,3.36,mist
451,Ulaangom,MN,49.98,92.07,10.85,91,99,4.16,overcast clouds
452,Aksarka,RU,66.56,67.8,1.62,94,39,9.28,scattered clouds
453,Isla Mujeres,MX,21.23,-86.73,80.01,74,20,4.7,few clouds
454,Clyde,US,41.3,-82.98,45.0,84,94,6.69,overcast clouds
455,Waitati,NZ,-45.75,170.57,53.01,58,84,23.0,broken clouds
456,Valmiera,LV,57.54,25.43,33.01,97,89,5.99,overcast clouds
457,Mitchell,US,43.71,-98.03,46.4,36,1,4.7,haze
458,Rocha,UY,-34.48,-54.33,61.81,87,0,10.02,clear sky
459,Helong,CN,42.54,129.0,14.81,80,0,6.64,clear sky
460,Nizhneangarsk,RU,55.78,109.55,10.92,88,93,3.36,overcast clouds
461,Ussel,FR,45.55,2.32,48.99,34,1,1.01,clear sky
462,Ziniare,BF,12.58,-1.3,75.2,47,27,2.24,scattered clouds
463,Baoding,CN,38.85,115.49,29.75,81,100,2.98,overcast clouds
